Count,Giants,Braves,Marlins,Mets,Phillies,Nationals,Dodgers,Rockies,Dbacks,Padres,Reds,Brewers,Pirates,Cardinals,Cubs
150,-25,-1,-15,-2,-30,25,21,13,1,-27,-3,-1,-16,1,27
151,-26,-3,-16,0,-31,24,22,14,2,-28,-4,-2,-15,2,26
152,-25,-4,-17,1,-32,23,23,13,3,-29,-5,-3,-14,3,27
153,-25,-3,-17,2,-33,22,23,12,3,-28,-6,-3,-13,3,26
154,-26,-4,-16,1,-34,23,24,11,4,-27,-7,-2,-12,3,27
155,-27,-3,-15,2,-35,22,25,12,5,-26,-8,-1,-13,2,26
156,-28,-3,-15,1,-34,23,24,13,5,-26,-8,0,-13,1,26
157,-29,-4,-14,0,-35,24,25,14,6,-27,-9,1,-14,2,27
158,-30,-3,-15,-1,-36,25,26,15,7,-26,-10,0,-13,1,26
159,-31,-2,-16,0,-37,24,27,16,8,-27,-11,1,-14,0,27
160,-32,-1,-15,-1,-37,23,28,16,8,-28,-10,0,-13,0,28
161,-31,-2,-16,-2,-38,24,29,17,7,-29,-11,-1,-12,1,29
162,-32,-1,-15,-3,-39,23,30,16,8,-28,-12,0,-13,2,28
163,-33,0,-16,-4,-38,23,31,15,9,-28,-12,1,-14,1,29
164,-34,1,-15,-3,-37,24,32,14,8,-27,-13,0,-13,0,28
165,-35,2,-16,-2,-38,25,33,13,9,-26,-14,-1,-12,-1,29
166,-36,1,-15,-1,-39,24,34,12,10,-27,-13,0,-13,0,28
167,-35,1,-15,-1,-40,23,35,11,11,-27,-14,0,-13,1,29
