Count,Giants,Braves,Marlins,Mets,Phillies,Nationals,Dodgers,Rockies,D'backs,Padres,Reds,Brewers,Pirates,Cardinals,Cubs,Orioles,Red Sox,Yankees,Rays,Blue Jays,White Sox,Indians,Tigers,Royals,Twins,A's,Astros,Angels,Mariners,Rangers
166,-36,-1,-15,-1,-40,25,34,12,10,-27,-13,-1,-14,0,28,0,20,13,-4,2,-18,15,-1,-2,-15,-19,26,2,9,11
167,-35,-1,-15,-1,-41,24,33,11,11,-27,-14,-1,-14,1,29,0,21,14,-4,2,-19,16,-1,-2,-16,-19,26,3,9,10
168,-34,0,-14,-2,-41,25,34,10,12,-28,-13,-2,-15,0,28,1,22,13,-3,1,-18,15,0,-3,-17,-18,25,2,8,11
169,-33,-1,-15,-1,-40,26,33,9,11,-27,-12,-3,-14,1,27,0,21,14,-4,2,-19,16,-1,-2,-16,-19,26,3,7,10
170,-33,-2,-16,0,-39,25,34,9,10,-26,-13,-2,-13,2,28,1,22,13,-5,1,-18,17,0,-3,-17,-20,27,2,7,9
171,-32,-1,-17,1,-40,24,35,10,9,-27,-12,-1,-14,3,27,0,23,14,-4,0,-17,17,0,-2,-18,-21,26,1,8,8
172,-31,0,-18,2,-41,23,36,9,10,-28,-11,0,-15,4,26,-1,24,13,-3,-1,-18,17,0,-2,-18,-22,27,2,7,9
173,-30,1,-17,1,-40,24,35,8,11,-27,-12,-1,-16,3,27,0,25,12,-4,-2,-17,18,-1,-1,-19,-23,28,1,8,8
174,-30,1,-18,0,-39,25,35,9,11,-27,-13,0,-17,4,27,-1,26,13,-4,-3,-16,18,-1,0,-18,-24,28,0,7,7
175,-31,0,-17,-1,-40,26,36,8,10,-26,-12,1,-16,3,26,-2,27,12,-3,-2,-17,17,0,1,-17,-23,29,-1,6,6
176,-30,-1,-16,-1,-41,26,37,9,9,-25,-13,2,-15,2,27,-3,26,11,-4,-1,-18,16,-1,2,-18,-22,30,0,5,7
177,-31,0,-17,-1,-42,25,38,8,8,-26,-12,3,-14,3,26,-4,25,11,-3,0,-18,17,0,2,-17,-21,29,0,4,7
